Plot,Block,String Inverter,SACU,Total Active Strings,Working String Count,Failed String Count,Availability (%),Failure Percentage (%),MBUS,Grid,E-Daily(KWH),Active Power,Reactive Power,PV1,PV2,PV3,PV4,PV5,PV6,PV7,PV8,PV9,PV10,PV11,PV12,PV13,PV14,PV15,PV16,PV17,PV18,PV19,PV20,PV21,PV22,PV23,PV24,PV25,PV26,PV27,PV28,PV-I1,PV-I2,PV-I3,PV-I4,PV-I5,PV-I6,PV-I7,PV-I8,PV-I9,PV-I10,PV-I11,PV-I12,PV-I13,PV-I14,PV-I15,PV-I16,PV-I17,PV-I18,PV-I19,PV-I20,PV-I21,PV-I22,PV-I23,PV-I24,PV-I25,PV-I26,PV-I27,PV-I28,VAB,VBC,VCA,IA,IB,IC
P1,IB1,P1-IB1-1.1-SI01,SACU-1,19,19,0,100.0,0.0,MBUS-1,On-grid,488.19,106.421,-0.044,1097.0,1097.0,1097.0,1097.0,1096.6,1096.6,1096.6,1096.6,1096.6,1082.4,1082.4,1082.4,1082.4,1082.4,1099.8,1099.8,1099.8,1099.8,1101.1,1101.1,1101.1,1101.1,1101.1,1101.2,1101.2,1101.2,1101.2,1101.2,5.44,5.11,5.2,5.14,5.08,5.04,5.18,0.0,0.0,5.24,5.14,5.13,0.0,0.0,5.44,5.01,5.12,0.0,5.2,5.19,5.0,0.0,0.0,5.02,5.07,5.21,0.0,0.0,817.6,809.3,813.8,75.587,75.229,75.706
P1,IB1,P1-IB1-1.1-SI02,SACU-1,19,5,14,26.32,73.68,MBUS-2,On-grid,132.48,28.694,0.052,1106.4,1106.4,1106.4,1106.4,336.1,336.1,336.1,336.1,336.1,1100.7,1100.7,1100.7,1100.7,1100.7,336.0,336.0,336.0,336.0,336.3,336.3,336.3,336.3,336.3,1109.6,1109.6,1109.6,1109.6,1109.6,5.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.73,5.57,5.34,0.0,0.0,818.2,811.3,812.6,20.962,20.212,20.361
P1,IB1,P1-IB1-1.1-SI03,SACU-1,19,19,0,100.0,0.0,MBUS-3,On-grid,483.52,105.348,-0.082,1091.0,1091.0,1091.0,1091.0,1074.0,1074.0,1074.0,1074.0,1074.0,1079.7,1079.7,1079.7,1079.7,1079.7,1085.0,1085.0,1085.0,1085.0,1085.8,1085.8,1085.8,1085.8,1085.8,1086.0,1086.0,1086.0,1086.0,1086.0,5.42,5.07,4.98,5.08,5.11,5.27,5.11,0.0,0.0,5.39,5.11,5.21,0.0,0.0,5.29,5.12,4.98,0.0,5.42,5.07,5.22,0.0,0.0,5.39,5.15,5.07,0.0,0.0,817.9,813.6,809.2,74.866,74.351,74.381
P1,IB1,P1-IB1-1.1-SI04,SACU-1,19,19,0,100.0,0.0,MBUS-4,On-grid,486.16,106.175,0.097,1093.8,1093.8,1093.8,1093.8,1121.3,1121.3,1121.3,1121.3,1121.3,1106.4,1106.4,1106.4,1106.4,1106.4,1092.5,1092.5,1092.5,1092.5,1086.6,1086.6,1086.6,1086.6,1086.6,1094.9,1094.9,1094.9,1094.9,1094.9,5.73,5.03,3.89,5.94,6.53,4.44,4.05,0.0,0.0,5.37,5.23,0.0,0.0,0.0,4.92,4.92,5.43,5.29,5.29,5.22,5.15,0.0,0.0,5.59,5.02,4.81,0.0,0.0,821.4,816.5,811.2,75.333,74.983,75.015
P1,IB1,P1-IB1-1.1-SI05,SACU-1,19,19,0,100.0,0.0,MBUS-5,On-grid,489.46,106.421,0.016,1095.7,1095.7,1095.7,1095.7,1095.0,1095.0,1095.0,1095.0,1095.0,1083.3,1083.3,1083.3,1083.3,1083.3,1084.7,1084.7,1084.7,1084.7,1093.8,1093.8,1093.8,1093.8,1093.8,1093.3,1093.3,1093.3,1093.3,1093.3,5.54,5.05,5.19,5.12,5.34,5.15,5.17,0.0,0.0,5.35,5.21,5.07,0.0,0.0,5.46,5.1,5.16,0.0,5.24,5.25,5.11,0.0,0.0,5.56,5.08,5.02,0.0,0.0,817.8,812.5,809.5,75.921,75.452,75.516
P1,IB1,P1-IB1-1.1-SI06,SACU-1,19,19,0,100.0,0.0,MBUS-6,On-grid,488.19,106.34,0.054,1093.9,1093.9,1093.9,1093.9,1093.0,1093.0,1093.0,1093.0,1093.0,1084.7,1084.7,1084.7,1084.7,1084.7,1093.7,1093.7,1093.7,1093.7,1089.8,1089.8,1089.8,1089.8,1089.8,1101.0,1101.0,1101.0,1101.0,1101.0,5.48,5.09,5.12,5.11,5.15,5.12,5.24,0.0,0.0,5.43,5.26,5.03,0.0,0.0,5.48,5.05,5.24,0.0,5.32,5.22,5.07,0.0,0.0,5.49,4.93,5.2,0.0,0.0,819.5,815.2,810.3,75.668,75.205,75.364
P1,IB1,P1-IB1-1.1-SI07,SACU-1,19,19,0,100.0,0.0,MBUS-7,On-grid,485.0,105.759,0.085,1097.0,1097.0,1097.0,1097.0,1079.5,1079.5,1079.5,1079.5,1079.5,1081.0,1081.0,1081.0,1081.0,1081.0,1071.8,1071.8,1071.8,1071.8,1090.0,1090.0,1090.0,1090.0,1090.0,1097.9,1097.9,1097.9,1097.9,1097.9,5.19,5.15,5.05,5.07,5.09,5.25,5.24,0.0,0.0,5.32,5.09,5.25,0.0,0.0,5.26,5.24,5.15,0.0,5.26,5.17,5.17,0.0,0.0,4.94,5.24,5.3,0.0,0.0,817.8,808.3,814.0,75.216,74.871,75.188
P1,IB1,P1-IB1-1.1-SI08,SACU-1,19,19,0,100.0,0.0,MBUS-8,On-grid,487.15,106.202,0.052,1074.6,1074.6,1074.6,1074.6,1096.5,1096.5,1096.5,1096.5,1096.5,1097.5,1097.5,1097.5,1097.5,1097.5,1095.2,1095.2,1095.2,1095.2,1090.9,1090.9,1090.9,1090.9,1090.9,1071.9,1071.9,1071.9,1071.9,1071.9,5.34,5.28,5.16,5.26,5.16,5.13,5.19,0.0,0.0,5.43,4.97,5.25,0.0,0.0,5.47,5.11,5.02,0.0,5.48,5.13,5.06,0.0,0.0,5.25,5.22,5.18,0.0,0.0,818.9,809.8,814.9,75.35,75.07,75.247
P1,IB1,P1-IB1-1.2-SI09,SACU-1,19,19,0,100.0,0.0,MBUS-9,On-grid,491.27,107.018,-0.004,1111.0,1111.0,1111.0,1111.0,1095.4,1095.4,1095.4,1095.4,1095.4,1094.3,1094.3,1094.3,1094.3,1094.3,1079.9,1079.9,1079.9,1079.9,1077.2,1077.2,1077.2,1077.2,1077.2,1080.1,1080.1,1080.1,1080.1,1080.1,5.49,5.05,5.12,5.09,5.33,5.25,5.22,0.0,0.0,5.43,5.2,5.22,0.0,0.0,5.49,5.0,5.11,0.0,5.39,5.24,5.1,0.0,0.0,5.48,5.15,5.35,0.0,0.0,819.5,809.9,814.7,75.981,75.68,75.773
P1,IB1,P1-IB1-1.2-SI10,SACU-1,19,19,0,100.0,0.0,MBUS-10,On-grid,489.77,106.727,-0.029,1082.1,1082.1,1082.1,1082.1,1084.4,1084.4,1084.4,1084.4,1084.4,1086.3,1086.3,1086.3,1086.3,1086.3,1064.8,1064.8,1064.8,1064.8,1089.2,1089.2,1089.2,1089.2,1089.2,1086.9,1086.9,1086.9,1086.9,1086.9,5.41,5.13,5.19,5.11,5.42,5.12,5.25,0.0,0.0,5.4,5.17,5.14,0.0,0.0,5.54,5.1,5.17,0.0,5.34,5.24,5.12,0.0,0.0,5.26,5.01,5.28,0.0,0.0,821.7,814.0,816.7,75.703,75.068,75.14
